Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.000     0.000     0.000     0.000       13   Regexp#to_s 
  0.03      0.244     0.000     0.000     0.244        1   Global#[No method] 
  0.03      0.000     0.000     0.000     0.000       16   <Class::Mutex>#allocate 
  0.03      0.000     0.000     0.000     0.000       14   Array#join 
  0.03      0.000     0.000     0.000     0.000       42   Kernel#taint 
  0.03      0.000     0.000     0.000     0.000       10   Nokogiri::XML::ParseOptions#xinclude? 
  0.03      0.000     0.000     0.000     0.000       38   Module#== 
  0.03      0.008     0.000     0.000     0.008       10   <Module::Nokogiri::XML>#parse 
  0.03      0.105     0.000     0.000     0.105        8   UWDC::Mets#file_sec 
  0.03      0.000     0.000     0.000     0.000       28   Nokogiri::XML::Node#namespace_scopes 
  0.03      0.000     0.000     0.000     0.000       16   NilClass#nil? 
  0.02      0.000     0.000     0.000     0.000       14   Kernel#initialize_dup 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_path 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#split_userinfo 
  0.02      0.000     0.000     0.000     0.000       14   HTTP::Message::Body#content 
  0.02      0.009     0.000     0.000     0.009       10   UWDC::XML#nodes 
  0.02      0.000     0.000     0.000     0.000       28   Array#reverse 
  0.02      0.001     0.000     0.000     0.001        8   UWDC::Mets#pick_attribute 
  0.02      0.001     0.000     0.000     0.001        1   HTTPClient#initialize 
  0.02      0.000     0.000     0.000     0.000       27   Bignum#<=> 
  0.02      0.001     0.000     0.000     0.001       13   Enumerable#each_with_index 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_scheme 
  0.02      0.000     0.000     0.000     0.000        1   HTTPClient::SessionManager#initialize 
  0.02      0.000     0.000     0.000     0.000       27   Kernel#hash 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_opaque 
  0.02      0.000     0.000     0.000     0.000        1   HTTPClient::SSLConfig#initialize 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_host 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_registry 
  0.02      0.000     0.000     0.000     0.000       20   Nokogiri::XML::Attr#value 
  0.02      0.001     0.000     0.000     0.001       13   Comparable#<= 
  0.02      0.136     0.000     0.000     0.136        8   UWDC::Display#select_files 
  0.02      0.000     0.000     0.000     0.000       14   Symbol#to_s 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_fragment 
  0.02      0.000     0.000     0.000     0.000       14   URI::Generic#set_query 
  0.02      0.000     0.000     0.000     0.000       28   Time#year 
  0.02      0.000     0.000     0.000     0.000       14   HTTPClient::OAuth#set? 
  0.02      0.000     0.000     0.000     0.000       13   HTTPClient::Session#invalidated? 
  0.02      0.001     0.000     0.000     0.000        8   UWDC::Display#viewable_model? 
  0.02      0.000     0.000     0.000     0.000        1   HTTPClient::Session#initialize 
  0.02      0.000     0.000     0.000     0.000       14   Fixnum#to_s 
  0.02      0.000     0.000     0.000     0.000       14   Hash#include? 
  0.02      0.000     0.000     0.000     0.000        4   HTTPClient::NegotiateAuth#initialize 
  0.02      0.001     0.000     0.000     0.000        8   Enumerable#map 
  0.02      0.000     0.000     0.000     0.000       20   Kernel#block_given? 
  0.02      0.000     0.000     0.000     0.000       16   Mutex#initialize 
  0.02      0.000     0.000     0.000     0.000       10   Nokogiri::XML::ParseOptions#initialize 
  0.02      0.000     0.000     0.000     0.000       13   Array#slice! 
  0.02      0.000     0.000     0.000     0.000        8   Array#reject 
  0.02      0.000     0.000     0.000     0.000        6   UWDC::Display#clean_id 
  0.02      0.000     0.000     0.000     0.000       14   Array#unshift 
  0.02      0.001     0.000     0.000     0.001        1   HTTPClient::Session#create_socket 
  0.02      0.000     0.000     0.000     0.000       14   String#== 
  0.02      0.000     0.000     0.000     0.000       10   <Class::Nokogiri::XML::NodeSet>#allocate 
  0.02      0.000     0.000     0.000     0.000       15   Module#extended 
  0.02      0.000     0.000     0.000     0.000       14   Time#wday 
  0.02      0.000     0.000     0.000     0.000       14   String#encoding 
  0.02      0.000     0.000     0.000     0.000       14   Time#initialize_copy 
  0.02      0.000     0.000     0.000     0.000       14   Kernel#kind_of? 
  0.01      0.000     0.000     0.000     0.000       14   Kernel#freeze 
  0.01      0.000     0.000     0.000     0.000       14   Hash#to_a 
  0.01      0.000     0.000     0.000     0.000       14   String#=== 
  0.01      0.000     0.000     0.000     0.000       14   Time#sec 
  0.01      0.000     0.000     0.000     0.000       14   Time#mon 
  0.01      0.139     0.000     0.000     0.139       14  *Enumerable#inject 
  0.01      0.000     0.000     0.000     0.000       14   Time#hour 
  0.01      0.000     0.000     0.000     0.000        8   Nokogiri::XML::Attr#to_s 
  0.01      0.000     0.000     0.000     0.000       14   Time#day 
  0.01      0.005     0.000     0.000     0.005        2   UWDC::RelsExt#models 
  0.01      0.000     0.000     0.000     0.000        1   HTTPClient::WWWAuth#initialize 
  0.01      0.000     0.000     0.000     0.000       10   Array#compact 
  0.01      0.000     0.000     0.000     0.000       14   Integer#to_i 
  0.01      0.002     0.000     0.000     0.002        2   UWDC::RelsExt#nodes 
  0.01      0.000     0.000     0.000     0.000        3   HTTPClient#getenv 
  0.01      0.000     0.000     0.000     0.000       10   Fixnum#& 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#proc 
  0.01      0.000     0.000     0.000     0.000       14   Time#min 
  0.01      0.000     0.000     0.000     0.000        1   WebAgent::CookieManager#initialize 
  0.01      0.050     0.000     0.000     0.050        2   UWDC::Mets#rels_ext 
  0.01      0.000     0.000     0.000     0.000        2   HTTPClient::BasicAuth#initialize 
  0.01      0.000     0.000     0.000     0.000        1   HTTPClient::ProxyAuth#initialize 
  0.01      0.001     0.000     0.000     0.001        1   <Class::IO>#new 
  0.01      0.055     0.000     0.000     0.055        2   UWDC::Display#content_models 
  0.01      0.000     0.000     0.000     0.000        2   HTTPClient::DigestAuth#initialize 
  0.01      0.012     0.000     0.000     0.012        2   UWDC::Mets#display 
  0.01      0.000     0.000     0.000     0.000        1   HTTPClient::OAuth#initialize 
  0.01      0.012     0.000     0.000     0.012        2   UWDC::Display#initialize 
  0.01      0.001     0.000     0.000     0.001        1   HTTPClient::Session#connect 
  0.01      0.056     0.000     0.000     0.056        2   UWDC::Display#viewable_models 
  0.01      0.000     0.000     0.000     0.000        1   HTTPClient#proxy= 
  0.01      0.000     0.000     0.000     0.000        8   Symbol#to_proc 
  0.01      0.000     0.000     0.000     0.000        1   HTTPClient#load_environment 
  0.01      0.000     0.000     0.000     0.000        1   HTTPClient::Util#https? 
  0.01      0.000     0.000     0.000     0.000        2   HTTPClient::SessionManager#close_all 
  0.01      0.000     0.000     0.000     0.000        2   HTTPClient::SessionManager#reset_all 
  0.01      0.000     0.000     0.000     0.000        6   Hash#clear 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient#no_proxy= 
  0.00      0.000     0.000     0.000     0.000        2   HTTPClient::SSPINegotiateAuth#initialize 
  0.00      0.087     0.000     0.000     0.087        1   UWDC::Display#audio 
  0.00      0.000     0.000     0.000     0.000        2   HTTPClient::NegotiateAuth#reset_challenge 
  0.00      0.000     0.000     0.000     0.000        6   <Object::Object>#[] 
  0.00      0.105     0.000     0.000     0.105        1   UWDC::Display#images 
  0.00      0.000     0.000     0.000     0.000        1   <Module::MonitorMixin>#extend_object 
  0.00      0.000     0.000     0.000     0.000        2   HTTPClient#reset_all 
  0.00      0.000     0.000     0.000     0.000        1   OpenSSL::X509::Store#initialize 
  0.00      0.019     0.000     0.000     0.019        1   UWDC::Mets#mods 
  0.00      0.000     0.000     0.000     0.000        1   <Class::OpenSSL::X509::Store>#allocate 
  0.00      0.000     0.000     0.000     0.000        1   MonitorMixin#mon_initialize 
  0.00      0.000     0.000     0.000     0.000        2   Kernel#method 
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#allocate 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::SessionManager#proxy= 
  0.00      0.000     0.000     0.000     0.000        3   Array#initialize 
  0.00      0.000     0.000     0.000     0.000        3   <Class::Array>#allocate 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::ProxyAuth#reset_challenge 
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::ProxyDigestAuth#reset_challenge 
